'	' 1.0
''	'' 1.0
(	( 0.9995583038869258 [ 0.00044169611307420494
(-hl	( 1.0
)	) 0.9995600527936648 ] 0.0004399472063352398
)-hl	) 1.0
*	nawt 0.00021724961981316532 not 0.9993482511405605 nott 0.00043449923962633063
*-hl	not 1.0
*-nc	not 1.0
*-tl	not 1.0
,	, 0.9999484146089828 : 1.719513033908797e-05 [ 1.719513033908797e-05 ] 1.719513033908797e-05
,-hl	, 1.0
,-nc	, 1.0
,-tl	, 1.0
--	-- 1.0
---hl	-- 1.0
.	! 0.026221181437382498 . 0.8049737788185626 : 0.0007586002176852799 ; 0.0917246611035984 ? 0.0763217784227712
.-hl	! 0.010033444816053512 . 0.8929765886287625 : 0.013377926421404682 ; 0.006688963210702341 ? 0.07692307692307693
.-nc	? 1.0
.-tl	? 1.0
:	: 1.0
:-hl	: 1.0
:-tl	: 1.0
\n	\n 1.0
\t	\t 1.0
``	`` 1.0
abl	quite 0.11764705882352941 rather 0.014005602240896359 such 0.8683473389355743
abn	all 0.9122923588039867 half 0.07906976744186046 many 0.008305647840531562 nary 0.0003322259136212625
abn-hl	all 1.0
abn-nc	all 1.0
abn-tl	all 1.0
abx	both 1.0
ap	'nough 0.00010501995379122033 certain 0.00966183574879227 enough 0.018588531821046 few 0.0630119722747322 fewer 0.0030455786599453897 final 0.000945179584120983 former 0.013757613946649863 further 0.0033606385213190504 individual 0.0008401596303297626 last 0.0635370720436883 latter 0.011867254778407898 least 0.03413148498214661 less 0.024049569418189455 lesser 0.00010501995379122033 little 0.04158790170132325 many 0.10417979416089057 manye 0.00010501995379122033 mor 0.00010501995379122033 more 0.10270951480781348 most 0.0500945179584121 much 0.05145977735769796 next 0.03161100609115732 next-to-last 0.00010501995379122033 nuf 0.00010501995379122033 only 0.0382272631800042 other 0.17737870195337113 particular 0.0014702793530770846 past 0.008821676118462508 plenty 0.00010501995379122033 present 0.0004200798151648813 previous 0.0008401596303297626 same 0.07183364839319471 several 0.039592522579290065 single 0.016593152699012813 various 0.0058811174123083385 very 0.009766855702583491
ap$	other's 1.0
ap+ap-nc	many-much 1.0
ap-hl	enough 0.025 fewer 0.025 last 0.025 less 0.075 little 0.025 many 0.075 more 0.225 most 0.025 much 0.05 next 0.05 only 0.025 other 0.275 present 0.025 same 0.025 single 0.05
ap-nc	few 0.5 many 0.5
ap-tl	last 0.3888888888888889 latter 0.05555555555555555 more 0.1111111111111111 much 0.2222222222222222 next 0.05555555555555555 other 0.1111111111111111 same 0.05555555555555555
at	a 0.23421023081084943 an 0.03783215426862259 ever' 1.0208352473994222e-05 every 0.005002092712257169 no 0.01842607621555957 th' 1.0208352473994222e-05 the 0.7045090292877633
at-hl	a 0.18072289156626506 an 0.0391566265060241 no 0.018072289156626505 the 0.7620481927710844
at-nc	a 0.22857142857142856 an 0.02857142857142857 the 0.7428571428571429
at-tl	a 0.07372654155495978 an 0.00804289544235925 every 0.0013404825737265416 no 0.010723860589812333 the 0.9048257372654156 ye 0.0013404825737265416
at-tl-hl	a 0.8 the 0.2
be	be 1.0
be-hl	be 1.0
be-tl	be 1.0
bed	were 0.9996953077391835 wuh 0.0003046922608165753
bed*	weren't 1.0
bed-nc	were 1.0
bedz	was 1.0
bedz*	wasn't 1.0
bedz-hl	was 1.0
bedz-nc	was 1.0
beg	bein 0.0014577259475218659 bein' 0.0029154518950437317 being 0.9927113702623906 beinge 0.0029154518950437317
bem	am 1.0
bem*	ain't 1.0
bem-nc	am 1.0
ben	been 1.0
ben-tl	been 1.0
ber	ah 0.00022836263987211693 are 0.9984014615208952 art 0.0013701758392327015
ber*	ain't 0.2553191489361702 aren't 0.7446808510638298
ber*-nc	aren't 1.0
ber-hl	are 1.0
ber-nc	are 1.0
ber-tl	are 1.0
bez	is 0.9999006556725611 ys 9.934432743890324e-05
bez*	ain't 0.1623931623931624 haint 0.008547008547008548 isn't 0.8290598290598291
bez-hl	is 1.0
bez-nc	is 1.0
bez-tl	is 1.0
cc	& 0.0015642398854658253 'n' 2.6512540431624158e-05 an 0.0003181504851794899 an' 0.00021210032345299326 and 0.7567209289994167 and/or 0.0004507131873376107 but 0.1118298955405907 butt 5.3025080863248316e-05 either 0.005010870141576966 minus 5.3025080863248316e-05 neither 0.0025717164218675434 nor 0.005169945384166711 or 0.11108754440850523 plus 0.0013786521024444563 though 2.6512540431624158e-05 yet 0.003526167877406013
cc-hl	& 0.01680672268907563 and 0.8571428571428571 but 0.025210084033613446 or 0.10084033613445378
cc-nc	and 0.2 but 0.6 or 0.2
cc-tl	& 0.3289902280130293 'n' 0.003257328990228013 and 0.6612377850162866 or 0.006514657980456026
cc-tl-hl	and 1.0
